選手名,年齢,級班,府県,ホーム,期別,タイプ１,タイプ２,先行意欲,番手経験,先頭を残す動きは？,飛び付き可能性,並走可能性,横の動きへの対応（横をする・横をされた時への対応力）,スピード（縦脚含む）,仕掛け,スタミナ,スタート・位置取り評価,単騎での動き,競輪IQ（ラインの意識）,暴走の有無（斜行や激しい横の動きなど）,相性◯バンク,相性✕バンク,不得意季節,コメント
保科 千春,33,S級1班,宮城,,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
町田 太我,25,S級1班,広島,広島,117期,先行,捲,◯,◯,✕,✕,✕,✕,◯,◯,△,◯,✕,◯,✕,,,,先行型選手。割と自分のスタイルを貫く。番手が他地区でも逃げてくれるので安心感はあるが調子の波もある
松井 宏佑,32,S級1班,神奈川,平塚,113期,先行,捲,△,◯,◯,✕,✕,△,◎,◯,◯,◯,✕,◯,✕,,,,佐藤慎太郎、グレード最終日は逃げる率高い。
松浦 悠士,34,S級1班,広島,広島,98期,自在,,△,◯,◯,✕,✕,◯,◯,◯,◯,◯,◯,◯,◯,,,,
松岡 貴久,41,S級1班,熊本,熊本,90期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
松岡 辰泰,29,S級1班,熊本,熊本,117期,捲,,✕,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,逃げません。逃げるならかまし先行。基本は捲りなので捲りを想定した買い目を組むと良い。
松川 高大,36,S級1班,熊本,熊本,94期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
松坂 洋平,43,S級1班,神奈川,平塚,89期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
松谷 秀幸,42,S級1班,神奈川,川崎,96期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,✕,✕,◯,✕,,,,元プロ野球選手
松田 治之,51,S級1班,大阪,岸和田,73期,追い込み,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
松本 貴治,31,S級1班,愛媛,松山,111期,自在,,✕,◯,◯,◯,◯,◯,△,◯,△,◯,◯,◯,✕,,,,大学時代の顧問が志智と知り合い。その縁で連携実績あり。今後もありそう。
松本 秀之介,25,S級1班,熊本,熊本,117期,捲,,✕,◯,✕,✕,✕,✕,◯,△,△,✕,✕,✕,✕,平塚,,,こちらも逃げない。松岡同様のスタイル。番手が同県・同地区の先輩でも捲り主体。何故か伊藤旭を付けると逃げるらしい。
窓場 千加頼,34,S級1班,京都,向日町,100期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
真鍋 智寛,26,S級1班,愛媛,松山,121期,先行,捲,◯,✕,,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,基本的にはF1選手。逃げれば強いし捲りも打ててスピードもある。ただムラッ気が有るので要注意。
三谷 将太,39,S級1班,奈良,奈良,92期,追い込み,,✕,◯,◯,◯,✕,△,◯,△,△,✕,◯,◯,◯,,,,
三谷 竜生,38,S級1班,奈良,奈良,101期,自在,,✕,◯,◯,◯,✕,◯,◯,△,△,✕,✕,◯,◯,,,,
道場 晃規,28,S級1班,静岡,,117期,先行,捲,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,逃げるのか・逃げないのか読みにくい選手だが南関の上位選手が付くと逃げる。（郡司・深谷・岩本など）
湊 聖二,48,S級1班,徳島,小松島,86期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
三宅 達也,48,S級1班,岡山,玉野,79期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
武藤 龍生,34,S級1班,埼玉,西武園,98期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
村上 博幸,46,S級1班,京都,向日町,86期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,◯,✕,◯,◯,,,,
村田 雅一,41,S級1班,兵庫,,90期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
村田 祐樹,27,S級1班,富山,富山,121期,先行,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,基本的には先行型。ただかます機会が多く不発も多い。番手選手のレベルが低くなればなるほどかます。
守澤 太志,40,S級1班,秋田,,96期,追い込み,,✕,◯,◯,◯,✕,△,◯,△,◯,✕,✕,◯,✕,,,,
森田 一郎,24,S級1班,埼玉,大宮,125期,先行,捲,◯,✕,,✕,✕,△,◯,◯,△,✕,✕,◯,✕,,,,少しづつ力を付けてきた。グレードでの慣れは必要だが先行力がもう少し付けば良い。先輩が付くとしっかり逃げるのでそこでの安心化はある。
森田 優弥,27,S級1班,埼玉,大宮,113期,自在,,◯,◯,◯,✕,✕,◯,◯,◯,◯,✕,✕,◯,◯,,,,
諸橋 愛,48,S級1班,新潟,弥彦,79期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
宿口 陽一,41,S級1班,埼玉,西武園,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
簗田 一輝,29,S級1班,静岡,静岡,107期,自在,,△,◯,◯,✕,✕,◯,△,△,△,✕,✕,◯,✕,,,,
柳詰 正宏,38,S級1班,福岡,小倉,97期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
山形 一気,36,S級1班,徳島,小松島,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,裏切り癖あり。
山賀 雅仁,43,S級1班,千葉,千葉,87期,追い込み,捲,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
山岸 佳太,35,S級1班,茨城,取手,107期,自在,,✕,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
山口 拳矢,29,S級1班,岐阜,大垣,117期,自在,,△,◯,◯,◯,✕,◯,◯,◯,◯,◯,◯,✕,✕,四日市,,,逃げることはあまりない。単騎や位置取りに拘る。状況を見てかます場合はあるが基本は捲り。
山口 富生,55,S級1班,岐阜,大垣,68期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,✕,✕,◯,✕,,,,
山崎 賢人,32,S級1班,長崎,佐世保,111期,先行,,◯,◯,✕,✕,✕,✕,◯,△,◯,✕,✕,◯,✕,,,,ナショナル所属。
山崎 芳仁,46,S級1班,福島,いわき平,88期,自在,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
山田 久徳,38,S級1班,京都,向日町,93期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,◯,✕,◯,✕,,,,
山田 英明,42,S級1班,佐賀,武雄,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
山田 庸平,37,S級1班,佐賀,武雄,94期,自在,,✕,◯,◯,✕,✕,△,◯,◯,◯,◯,✕,◯,✕,,,,
山田 諒,26,S級1班,岐阜,岐阜,113期,先行,捲,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
山本 伸一,42,S級1班,奈良,奈良,101期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
横山 尚則,34,S級1班,茨城,取手,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
吉澤 純平,40,S級1班,茨城,取手,101期,追い込み,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
吉田 有希,24,S級1班,茨城,取手,119期,先行,捲,◯,✕,,✕,✕,✕,◯,△,◯,✕,✕,◯,✕,,,,良い先行型に育ってきた。ただ前受けから引いてかまし・捲りに構える事があるのでその時は要注意。逃げる時は逃げるので前節・直近がどうなのかは確認が必要。
吉本 卓仁,41,S級1班,福岡,久留米,89期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
脇本 勇希,26,S級1班,福井,福井,115期,先行,捲,△,✕,,◯,◯,✕,◯,△,△,✕,✕,◯,✕,,,,
渡部 哲男,45,S級1班,愛媛,松山,84期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
渡邉 雅也,24,S級1班,静岡,静岡,117期,自在,,◯,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
渡部 幸訓,42,S級1班,福島,いわき平,89期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,✕,✕,◯,✕,,,,
和田 圭,39,S級1班,宮城,,92期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,◯,✕,◯,✕,,,,
和田 健太郎,44,S級1班,千葉,松戸,87期,追い込み,,✕,◯,◯,✕,✕,◯,◯,△,△,✕,✕,◯,◯,京王閣,,,
和田 真久留,34,S級1班,神奈川,平塚,99期,自在,,△,◯,✕,◯,✕,◯,△,◯,△,◯,✕,✕,✕,,,,自分だけが着に絡むレースをすることが多い。
相川 永伍,41,S級2班,埼玉,大宮,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
青井 賢治,49,S級2班,徳島,小松島,81期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
青木 瑞樹,26,S級2班,岡山,玉野,123期,先行,,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
青森 伸也,48,S級2班,福島,いわき平,87期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
青柳 靖起,25,S級2班,佐賀,武雄,117期,先行,捲,△,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,基本は7車メイン。逃げることが多く。最近は仕掛けの良さが目立つ。ラインの厚みに関係なく売れていない時はメライどころだと思う。
秋本 耀太郎,27,S級2班,栃木,宇都宮,117期,自在,,△,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
阿久津 修,44,S級2班,栃木,宇都宮,88期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
安彦 統賀,26,S級2班,埼玉,大宮,121期,自在,,◯,◯,△,◯,◯,△,△,△,△,◯,◯,◯,✕,,,,映画20世紀少年出演経験あり。（元子役）
阿部 英斗,21,S級2班,福岡,小倉,125期,先行,捲,◯,✕,,✕,✕,△,△,△,△,✕,✕,◯,◯,,,,先行型であり先行意欲がある。ただ積極性と無茶を履き違えてそうな感じがあるので不安部分は多い。
安部 貴之,42,S級2班,宮城,,92期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
阿部 大樹,36,S級2班,埼玉,大宮,94期,自在,,△,◯,◯,△,△,△,◯,◯,△,◯,◯,◯,✕,,,,
天田 裕輝,40,S級2班,群馬,前橋,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
荒川 達郎,26,S級2班,埼玉,大宮,123期,先行,,△,✕,,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
荒澤 貴史,46,S級2班,北海道,函館,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,追い込み脚がある
安倍 大成,26,S級2班,埼玉,大宮,121期,先行,自在,△,✕,,◯,✕,◯,△,△,△,✕,✕,✕,✕,,,,
飯田 憲司,42,S級2班,静岡,静岡,96期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
飯田 裕次,40,S級2班,福岡,小倉,97期,追い込み,,✕,◯,△,△,△,△,△,✕,△,△,△,◯,✕,,,,
五十嵐 力,46,S級2班,神奈川,川崎,87期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
猪狩 祐樹,38,S級2班,福島,いわき平,99期,自在,,△,◯,△,△,✕,△,◯,✕,△,△,◯,◯,✕,,,,
池田 憲昭,43,S級2班,香川,高松,90期,追い込み,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
池田 勇人,40,S級2班,埼玉,大宮,90期,追い込み,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
池田 良,39,S級2班,広島,広島,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石口 慶多,36,S級2班,兵庫,,103期,自在,,△,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
石毛 克幸,48,S級2班,千葉,千葉,84期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
石塚 慶一郎,23,S級2班,和歌山,和歌山,119期,先行,捲,◯,◯,△,△,△,△,△,◯,△,△,△,◯,✕,,,,兄はS級の石塚輪太郎
石橋 慎太郎,42,S級2班,静岡,静岡,88期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,◯,△,◯,✕,,,,
和泉 尚吾,28,S級2班,愛媛,松山,117期,自在,,△,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
伊勢崎 彰大,46,S級2班,千葉,千葉,81期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,冬苦手,
磯島 成介,26,S級2班,青森,,115期,先行,捲,◯,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
板垣 昴,33,S級2班,北海道,函館,115期,先行,捲,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
市田 龍生都,23,S級2班,福井,福井,127期,先行,捲,◯,✕,,✕,✕,△,◯,◯,◯,✕,✕,◯,✕,,,,デビュー後も絶好調。ラインの意識もあるが強すぎて後続が千切れてしまう。致し方ない。A級は無双するであろう。順調に育てば近畿が更に充実する。かまし多め。川崎・福井を完全優勝。7月7日岸和田完全優勝。S級特昇確定。基本はかまし捲り。S級では一転ラインの意識が高くかなり教育された走りを展開してる。					
一戸 康宏,38,S級2班,埼玉,大宮,101期,自在,,△,◯,◯,✕,✕,◯,◯,△,△,✕,✕,◯,✕,,,,
一丸 尚伍,33,S級2班,大分,別府,121期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
伊藤 慶太郎,31,S級2班,埼玉,大宮,107期,先行,捲,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
伊藤 勝太,37,S級2班,愛知,名古屋,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
伊藤 信,41,S級2班,大阪,岸和田,92期,自在,,✕,◯,◯,✕,✕,△,◯,△,△,✕,◯,◯,✕,,,,
伊藤 成紀,43,S級2班,大阪,,90期,自在,,◯,◯,◯,✕,✕,△,◯,△,△,✕,◯,◯,✕,,,,
伊藤 大志,46,S級2班,青森,青森,86期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,青森支部支部長
伊東 翔貴,35,S級2班,福島,いわき平,100期,捲,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
伊藤 正樹,52,S級2班,愛知,名古屋,71期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
伊藤 裕貴,33,S級2班,三重,四日市,100期,自在,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
伊東 佑晟,23,S級2班,三重,松阪,125期,先行,捲,◯,✕,,△,△,△,◯,◯,△,◯,△,◯,✕,,,,
稲川 翔,40,S級2班,大阪,,90期,自在,,✕,◯,◯,✕,✕,◯,◯,△,△,◯,✕,◯,◯,,,,失格の兼ね合いで横の動きが減った。失格点を稼いでしまうとAに落ちるので。
稲垣 裕之,48,S級2班,京都,向日町,86期,追い込み,,✕,◯,◯,✕,✕,△,◯,◯,◯,✕,✕,◯,✕,,,,
稲毛 健太,36,S級2班,和歌山,和歌山,97期,自在,,△,◯,◯,◯,✕,◯,△,△,△,✕,✕,◯,◯,,,,和歌山支部支部長
稲吉 悠大,38,S級2班,福岡,久留米,92期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
今村 麟太郎,29,S級2班,高知,高知,111期,先行,捲,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,高知,,,
伊代野 貴照,44,S級2班,奈良,奈良,101期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,奈良支部支部長
岩井 芯,21,S級2班,岐阜,大垣,125期,先行,捲,△,◯,△,△,△,△,◯,◯,△,△,△,△,✕,,,,
岩本 和也,50,S級2班,石川,富山,76期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
上杉 嘉槻,27,S級2班,福井,福井,119期,先行,捲,△,◯,◯,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,逃げ・捲りとあるがどちらの展開になるかがわからない。ただし突っ張り先行はほぼなく、基本的にはかまし先行。
上田 裕和,44,S級2班,三重,四日市,86期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
上野 雅彦,23,S級2班,香川,高松,119期,先行,,△,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,先行型ではあるがスピードが有るわけではない。ムラっ気もあり逃げるかどうかはわからない部分あり。基本F1選手なのでグレードレースでは買いにくい。
植原 琢也,31,S級2班,埼玉,大宮,113期,先行,捲,◯,◯,△,◯,✕,△,◯,◯,△,◯,△,◯,✕,,,,
上原 龍,40,S級2班,長野,,95期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
浮島 知稀,25,S級2班,群馬,前橋,123期,先行,,◯,✕,,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,先行がメインだが状況においてはかましや捲りもあるので先輩が付いていても読めない部分はある。全体的に力不足感は否めないので買いにくさはある。
内山 雅貴,30,S級2班,静岡,静岡,113期,自在,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
梅崎 隆介,35,S級2班,長崎,佐世保,121期,追い込み,,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
瓜生 崇智,30,S級2班,熊本,熊本,109期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
江連 和洋,53,S級2班,栃木,宇都宮,76期,追い込み,,✕,◯,◯,✕,✕,◯,△,△,△,△,△,◯,✕,,,,
海老根 恵太,48,S級2班,千葉,千葉,86期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,息子は大阪桐蔭で甲子園出場経験あり。現在SUBARUでプレーするドラフト候補。
遠藤 拓巳,25,S級2班,香川,高松,125期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,△,△,◯,✕,,,,
大石 剣士,29,S級2班,静岡,伊東,109期,先行,,◯,◯,✕,✕,✕,△,◯,△,△,✕,✕,◯,✕,,,,
大石 崇晴,32,S級2班,大阪,,109期,先行,,△,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大川 剛,26,S級2班,青森,青森,121期,先行,捲,△,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,逃げ・捲りとあるがどちらの展開になるかがわからない。ただし突っ張り先行はほぼなく、基本的にはかまし先行。
大澤 雄大,43,S級2班,埼玉,大宮,89期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
太田 龍希,25,S級2班,埼玉,大宮,117期,自在,,✕,◯,✕,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大西 貴晃,33,S級2班,大分,別府,101期,自在,,△,◯,✕,◯,✕,△,△,△,△,✕,✕,◯,✕,,,,
大西 祐,38,S級2班,愛媛,松山,91期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大野 悟郎,45,S級2班,大分,別府,83期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大洞 翔平,33,S級2班,岐阜,岐阜,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大槇 大介,29,S級2班,岡山,玉野,119期,先行,捲,◯,◯,△,△,△,△,△,△,△,△,△,◯,✕,,,,
大屋 健司,44,S級2班,広島,広島,87期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大矢 崇弘,34,S級2班,東京,西武園,107期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
大矢 将大,46,S級2班,埼玉,西武園,81期,追い込み,,✕,◯,△,✕,✕,△,△,✕,△,△,△,◯,✕,,,,
岡田 征陽,45,S級2班,東京,京王閣,85期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
岡田 泰地,33,S級2班,栃木,宇都宮,100期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
岡田 亮太,25,S級2班,東京,立川,117期,先行,捲,◯,◯,△,△,△,△,◯,◯,△,◯,△,◯,✕,,,,
岡村 潤,43,S級2班,静岡,静岡,86期,追い込み,,✕,◯,◯,✕,✕,✕,△,△,△,◯,✕,◯,✕,,,,
岡本 大嗣,45,S級2班,東京,京王閣,88期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
小笠原 光,29,S級2班,岩手,,117期,自在,,◯,◯,◯,◯,✕,△,◯,◯,△,◯,◯,△,✕,,,,
尾形 鉄馬,35,S級2班,宮城,,107期,追い込み,,✕,◯,◯,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
緒方 将樹,26,S級2班,熊本,熊本,117期,先行,捲,✕,✕,,✕,✕,△,△,△,△,✕,✕,◯,✕,,,,
